optimizer,lr,epochs,weight_decay,momentum,accuracy,time_s
Adam,0.001,300,0.0,0.9,0.6600000262260437,73.63
Adam,0.003,300,0.0,0.9,0.6974999904632568,68.31
Adam,0.01,300,0.0,0.9,0.6775000095367432,60.41
Adam,0.03,300,0.0,0.9,0.6449999809265137,54.19
Adam,0.01,600,0.0,0.9,0.6850000023841858,105.31
Adam,0.003,600,0.0,0.9,0.6949999928474426,104.96
AdamW,0.001,300,0.0001,0.9,0.6600000262260437,54.66
AdamW,0.003,300,0.0001,0.9,0.6974999904632568,52.31
AdamW,0.01,300,0.0001,0.9,0.6775000095367432,52.64
AdamW,0.003,600,0.0001,0.9,0.6949999928474426,106.47
SGD,0.01,300,0.0,0.9,0.6875,52.08
SGD,0.03,300,0.0,0.9,0.7024999856948853,52.07
SGD,0.1,300,0.0,0.9,0.6924999952316284,52.05
SGD,0.03,600,0.0,0.9,0.6899999976158142,104.89
